#REF, https://ui.adsabs.harvard.edu/abs/2023ApJ...948L..14C/abstract
#AUTHOR, Castellano+
#YEAR, 2023
#REDSHIFT, 10.0
#COLUMN1, M_UV [mag]
#COLUMN2, Phi [mag^-1 Mpc^-3]
#COLUMN3, -sigma
#COLUMN4, +sigma
#NOTE,  imaging data obtained recently with NIRCam on board JWST by three programs-GLASS-JWST, UNCOVER, and DDT#2756, Chabrier IMF, (h, Omega_m, Omega_l) = (0.7, 0.3, 0.7)
#IMF, Chabrier
-22.5 ,  3.3e-5 ,     inf ,     0.0 
-21.5 ,  2.1e-5 ,  1.7e-5 ,  4.8e-5 
-20.5 ,  7.6e-5 ,  3.9e-5 ,  6.4e-5 
-19.5 , 18.0e-5 ,  9.8e-5 , 17.5e-5     
